dep;com;arrd;cant;admi;popu;ecarts_popu;surface;nom;xlamb2;ylamb2;xlambz;ylambz;xlamb93;ylamb93;longi_grd;lati_grd;longi_dms;lati_dms;zmin;zmax;wgs84
77;409;3;20;6;28;Entre 10.000 et 25.000 habitants;885;SAINT-GERMAIN-LAVAL;6489;23780;6489;1778;6998;68110;734;53777;25948;482357;47;133;48.39905335,2.9967195
78;302;1;8;6;2;Entre 0 et 1000 habitants;486;LA HAUTEVILLE;5473;24120;5473;11118;5985;68458;-796;54116;13714;484217;134;184;48.70437758,1.62081896
78;470;2;18;6;9;Entre 0 et 1000 habitants;1650;ORPHIN;5590;23979;5590;1977;6101;68316;-617;53976;14652;483443;132;166;48.57848911,1.78105893
91;589;3;99;5;371;Entre 25.000 et 50.000 habitants;697;SAVIGNY-SUR-ORGE;6012;24084;6012;11081;6523;68417;18;54082;22109;484026;33;99;48.67417872,2.35279503
95;51;3;28;5;88;Entre 10.000 et 25.000 habitants;302;BEAUCHAMP;5893;24462;5893;11460;6407;68796;-163;54460;21124;490050;47;73;49.01381731,2.19032499
95;445;3;14;6;7;Entre 0 et 1000 habitants;668;NERVILLE-LA-FORET;5958;24546;5958;11544;6473;68880;-64;54544;21644;490523;65;194;49.08937551,2.27903984
77;218;3;1;6;1;Entre 0 et 1000 habitants;657;GRISY-SUR-SEINE;6727;23827;6727;1825;7236;68154;1091;53821;31907;482620;54;67;48.43907213,3.31881196
77;282;1;9;6;3;Entre 0 et 1000 habitants;867;MAUREGARD;6179;24485;6179;11482;6694;68817;272;54482;23452;490203;98;126;49.03432705,2.58114157
77;299;4;21;6;2;Entre 0 et 1000 habitants;521;MONTARLOT;6381;23724;6381;1722;6889;68055;571;53722;25101;482059;55;107;48.34943156,2.85041792
77;348;4;24;6;3;Entre 0 et 1000 habitants;381;ORMESSON;6235;23606;6235;1604;6743;67938;352;53605;23912;481440;70;119;48.24403037,2.65285207
77;357;3;23;6;8;Entre 0 et 1000 habitants;2107;PECY;6547;24066;6547;11064;7058;68395;825;54062;30443;483921;109;145;48.65568322,3.07866421
77;439;3;20;6;10;Entre 10.000 et 25.000 habitants;1055;SALINS;6508;23806;6507;1804;7016;68135;762;53802;30119;482519;59;138;48.42228141,3.02267657
77;461;3;10;6;3;Entre 0 et 1000 habitants;537;THENISY;6621;23882;6621;1880;7130;68210;933;53877;31034;482922;62;138;48.48961797,3.17639314
93;64;1;26;5;409;Entre 25.000 et 50.000 habitants;591;ROSNY-SOUS-BOIS;6109;24305;6109;11303;6623;68638;165;54304;22907;485223;45;116;48.87272347,2.48501069
94;3;3;34;5;195;Entre 10.000 et 25.000 habitants;233;ARCUEIL;5999;24231;5999;11229;6512;68565;-1;54230;22007;484824;42;105;48.80630715,2.33514561
77;297;4;4;6;4;Entre 0 et 1000 habitants;2027;MONDREVILLE;6203;23493;6203;23493;6710;67825;303;53492;23634;480833;86;111;48.14253298,2.60925024
77;339;4;3;6;20;Entre 10.000 et 25.000 habitants;2991;NOISY-SUR-ECOLE;6118;23750;6118;1747;6627;68082;177;53748;22946;482224;63;127;48.37381755,2.49574775
77;373;5;40;5;353;Entre 25.000 et 50.000 habitants;1364;PONTAULT-COMBAULT;6198;24222;6197;11220;6710;68554;299;54220;23619;484754;87;113;48.79791486,2.60588014
77;393;3;27;5;27;Entre 10.000 et 25.000 habitants;317;ROZAY-EN-BRIE;6458;24096;6458;11094;6969;68426;691;54093;25730;484100;81;110;48.6833418,2.95823835
77;434;3;1;6;3;Entre 0 et 1000 habitants;652;SAINT-SAUVEUR-LES-BRAY;6646;23825;6646;1823;7155;68154;970;53821;31234;482619;50;58;48.43813289,3.20934677
78;89;1;2;5;42;Entre 10.000 et 25.000 habitants;766;BONNIERES-SUR-SEINE;5446;24489;5447;11486;5961;68827;-841;54484;13447;490207;13;131;49.03576755,1.57932182
78;300;1;7;6;4;Entre 0 et 1000 habitants;708;HARGEVILLE;5563;24326;5563;11324;6077;68663;-662;54323;14427;485325;114;176;48.89019653,1.74091518
78;401;1;14;5;88;Entre 10.000 et 25.000 habitants;346;MEULAN-EN-YVELINES;5685;24454;5685;11452;6200;68790;-478;54451;15423;490022;18;117;49.0059411,1.90622907
78;536;1;10;6;4;Entre 0 et 1000 habitants;545;SAILLY;5608;24493;5608;11490;6123;68829;-596;54489;14801;490225;81;174;49.04056063,1.80069018
91;109;1;8;6;10;Entre 10.000 et 25.000 habitants;865;BRIERES-LES-SCELLES;5854;23843;5854;1841;6364;68178;-219;53842;20821;482727;70;153;48.4573685,2.13917636
91;468;2;16;6;18;Entre 10.000 et 25.000 habitants;188;ORMOY;6081;23975;6081;1973;6592;68308;123;53973;22648;483434;42;88;48.57614902,2.44623915
91;619;1;9;6;3;Entre 0 et 1000 habitants;350;TORFOU;5919;23925;5919;1923;6429;68260;-122;53924;21336;483153;94;155;48.53120012,2.22687514
